task_id,task_description,task_category,assigned_employee,task_created_date,deadline_in_days,estimated_effort_hours,employee_current_workload_hours,employee_past_completion_rate
38,resolve issue using Python,Support,EMP_1,2024-06-18,8,32,151,0.77
39,setup CI/CD using Python,DevOps,EMP_3,2024-09-01,27,7,90,0.7
40,optimize query using Python,Data Engineering,EMP_30,2024-02-03,2,15,116,0.81
41,prepare report using Python,Reporting,EMP_36,2024-10-08,23,19,26,0.65
42,monitor progress using Python,Task Management,EMP_24,2024-09-22,13,4,131,0.58
43,build KPI dashboard using Python,Reporting,EMP_30,2024-09-20,20,3,74,0.56
44,transform dataset using Python,Data Engineering,EMP_10,2024-03-19,6,23,109,0.51
45,design warehouse using Python,Data Engineering,EMP_26,2024-05-02,2,14,129,0.62
46,handle ticket using Python,Support,EMP_20,2024-06-25,28,31,143,0.51
47,optimize model using Python,Machine Learning,EMP_42,2024-06-16,1,9,36,0.83
48,create dashboard using Python,Reporting,EMP_46,2024-03-02,7,33,156,0.75
49,perform feature engineering using Python,Machine Learning,EMP_19,2024-01-04,18,5,142,0.67
50,monitor system using Python,DevOps,EMP_15,2024-03-31,9,13,124,0.55
51,build KPI dashboard using Python,Reporting,EMP_30,2024-10-12,4,35,95,0.71
52,create dashboard using Python,Reporting,EMP_8,2024-12-31,13,7,117,0.59
53,design warehouse using Python,Data Engineering,EMP_29,2024-08-28,9,10,143,0.68
54,prepare report using Python,Reporting,EMP_26,2024-06-10,2,37,41,0.92
55,fix bug using Python,Support,EMP_43,2024-09-18,12,3,24,0.67
56,optimize query using Python,Data Engineering,EMP_48,2024-01-30,21,19,132,0.55
57,track deadlines using Python,Task Management,EMP_20,2024-10-10,19,24,140,0.53
58,build prediction model using Python,Machine Learning,EMP_15,2024-09-12,24,7,89,0.9
59,clean data using Python,Data Engineering,EMP_10,2024-04-06,9,39,91,0.74
60,deploy application using Python,DevOps,EMP_10,2024-08-24,13,6,124,0.74
61,troubleshoot error using Python,Support,EMP_46,2024-09-24,17,5,69,0.92
62,optimize model using Python,Machine Learning,EMP_25,2024-07-12,5,32,93,0.59
63,prioritize tasks using Python,Task Management,EMP_39,2024-11-13,12,39,105,0.55
64,optimize model using Python,Machine Learning,EMP_43,2024-06-11,9,1,95,0.7
65,transform dataset using Python,Data Engineering,EMP_27,2024-02-10,22,26,139,0.62
66,optimize query using Python,Data Engineering,EMP_46,2024-07-31,17,36,88,0.65
67,fix bug using Python,Support,EMP_44,2024-02-23,8,26,121,0.81
68,manage workload using Python,Task Management,EMP_28,2024-06-04,4,19,88,0.63
69,monitor progress using Python,Task Management,EMP_44,2024-01-14,3,29,113,0.65
70,manage cloud using Python,DevOps,EMP_4,2024-06-14,12,6,125,0.52
71,optimize model using Python,Machine Learning,EMP_23,2024-08-09,20,7,146,0.52
72,build ETL pipeline using Python,Data Engineering,EMP_7,2024-03-16,24,27,12,0.76
73,prioritize tasks using Python,Task Management,EMP_6,2024-02-01,9,9,150,0.69
74,build prediction model using Python,Machine Learning,EMP_45,2024-02-18,12,16,123,0.77
75,transform dataset using Python,Data Engineering,EMP_28,2024-10-30,28,20,159,0.57
76,monitor progress using Python,Task Management,EMP_44,2024-01-31,10,14,140,0.82
77,resolve issue using Python,Support,EMP_38,2024-10-24,30,32,111,0.84
78,troubleshoot error using Python,Support,EMP_35,2024-06-06,12,14,131,0.81
79,manage workload using Python,Task Management,EMP_47,2024-10-01,17,21,108,0.78
80,clean data using Python,Data Engineering,EMP_12,2024-04-07,8,12,95,0.86
81,prepare report using Python,Reporting,EMP_25,2024-05-09,7,26,151,0.88
82,clean data using Python,Data Engineering,EMP_30,2024-11-24,7,15,39,0.78
83,build ETL pipeline using Python,Data Engineering,EMP_49,2024-06-19,1,19,23,0.89
84,manage cloud using Python,DevOps,EMP_11,2024-06-22,17,21,117,0.82
85,prioritize tasks using Python,Task Management,EMP_48,2024-08-29,20,5,114,0.62
86,manage workload using Python,Task Management,EMP_6,2024-08-04,7,12,56,0.51
87,assign tasks using Python,Task Management,EMP_20,2024-10-28,4,36,140,0.92
88,manage workload using Python,Task Management,EMP_46,2024-02-02,9,38,24,0.89
89,fix bug using Python,Support,EMP_13,2024-06-27,16,4,107,0.65
90,design warehouse using Python,Data Engineering,EMP_19,2024-03-21,17,10,23,0.71
91,monitor progress using Python,Task Management,EMP_7,2024-05-09,7,11,32,0.83
92,setup CI/CD using Python,DevOps,EMP_49,2024-03-07,27,35,157,0.81
93,clean data using Python,Data Engineering,EMP_19,2024-12-22,7,32,124,0.64
94,track deadlines using Python,Task Management,EMP_41,2024-03-22,8,12,31,0.86
95,assist user using Python,Support,EMP_24,2024-07-19,20,33,35,0.64
96,design warehouse using Python,Data Engineering,EMP_42,2024-04-18,13,21,88,0.82
97,perform feature engineering using Python,Machine Learning,EMP_33,2024-11-22,22,25,89,0.72
98,manage workload using Python,Task Management,EMP_5,2024-03-25,11,1,119,0.52
99,prepare report using Python,Reporting,EMP_21,2024-03-20,21,20,106,0.78
100,handle ticket using Python,Support,EMP_28,2024-03-15,23,14,146,0.86
101,analyze metrics using Python,Reporting,EMP_7,2024-12-29,25,23,145,0.78
102,clean data using Python,Data Engineering,EMP_43,2024-11-03,17,13,101,0.95
103,build ETL pipeline using Python,Data Engineering,EMP_29,2024-07-14,7,25,31,0.56
104,generate report using Python,Reporting,EMP_29,2024-03-04,30,19,137,0.79
105,apply NLP using Python,Machine Learning,EMP_16,2024-09-15,11,17,10,0.93
106,build prediction model using Python,Machine Learning,EMP_44,2024-08-30,17,2,59,0.86
107,assign tasks using Python,Task Management,EMP_43,2024-11-02,2,28,137,0.68
108,train ML model using Python,Machine Learning,EMP_43,2024-11-03,3,9,84,0.93
109,build KPI dashboard using Python,Reporting,EMP_18,2024-07-09,15,36,85,0.6
110,create dashboard using Python,Reporting,EMP_34,2024-12-11,8,15,160,0.8
111,build prediction model using Python,Machine Learning,EMP_29,2024-08-17,4,25,11,0.79
112,monitor system using Python,DevOps,EMP_2,2024-05-19,27,25,14,0.61
113,prepare report using Python,Reporting,EMP_37,2024-03-13,13,13,157,0.78
114,manage cloud using Python,DevOps,EMP_22,2024-02-16,13,38,79,0.83
115,monitor system using Python,DevOps,EMP_31,2024-03-07,16,4,11,0.94
116,prioritize tasks using Python,Task Management,EMP_35,2024-09-16,10,2,54,0.6
117,handle ticket using Python,Support,EMP_36,2024-06-20,19,17,47,0.78
118,configure docker using Python,DevOps,EMP_45,2024-05-23,9,12,73,0.65
119,design warehouse using Python,Data Engineering,EMP_19,2024-05-16,26,9,26,0.94
120,deploy application using Python,DevOps,EMP_49,2024-12-11,26,5,84,0.81
121,perform feature engineering using Python,Machine Learning,EMP_12,2024-04-07,11,1,40,0.92
122,manage cloud using Python,DevOps,EMP_23,2024-09-05,19,10,97,0.51
123,monitor system using Python,DevOps,EMP_33,2024-01-22,29,40,74,0.86
124,assign tasks using Python,Task Management,EMP_36,2024-08-10,15,24,15,0.6
125,assign tasks using Python,Task Management,EMP_8,2024-08-09,29,12,22,0.72
126,assist user using Python,Support,EMP_45,2024-06-29,12,2,24,0.93
127,optimize model using Python,Machine Learning,EMP_43,2024-06-28,15,4,49,0.82
128,prepare report using Python,Reporting,EMP_44,2024-02-24,1,21,101,0.7
129,monitor system using Python,DevOps,EMP_3,2024-02-12,10,10,114,0.66
130,assist user using Python,Support,EMP_1,2024-04-14,24,17,45,0.78
131,generate report using Python,Reporting,EMP_8,2024-12-25,11,27,71,0.83
132,assist user using Python,Support,EMP_1,2024-05-24,4,34,25,0.82
133,manage cloud using Python,DevOps,EMP_30,2024-02-26,30,34,149,0.6
134,monitor system using Python,DevOps,EMP_47,2024-09-03,1,19,24,0.77
135,resolve issue using Python,Support,EMP_17,2024-03-01,27,11,50,0.56
136,monitor system using Python,DevOps,EMP_32,2024-12-04,28,21,32,0.6
137,analyze metrics using Python,Reporting,EMP_29,2024-01-22,22,26,25,0.77
138,perform feature engineering using Python,Machine Learning,EMP_2,2024-10-06,14,24,51,0.76
139,design warehouse using Python,Data Engineering,EMP_44,2024-02-23,21,34,118,0.61
140,optimize model using Python,Machine Learning,EMP_13,2024-01-27,8,24,13,0.94
141,build prediction model using Python,Machine Learning,EMP_31,2024-08-28,2,22,116,0.77
142,monitor system using Python,DevOps,EMP_23,2024-09-19,7,5,17,0.66
143,analyze metrics using Python,Reporting,EMP_26,2024-10-30,19,12,128,0.93
144,clean data using Python,Data Engineering,EMP_31,2024-12-16,10,14,129,0.91
145,optimize model using Python,Machine Learning,EMP_1,2024-07-06,22,6,70,0.83
146,manage cloud using Python,DevOps,EMP_48,2024-09-28,4,15,18,0.51
147,troubleshoot error using Python,Support,EMP_38,2024-03-14,11,17,113,0.84
148,perform feature engineering using Python,Machine Learning,EMP_16,2024-07-24,1,37,153,0.56
149,handle ticket using Python,Support,EMP_40,2024-08-08,5,27,22,0.69
150,prioritize tasks using Python,Task Management,EMP_35,2024-05-03,4,32,43,0.56
151,build ETL pipeline using Python,Data Engineering,EMP_46,2024-12-01,20,26,16,0.6
152,manage cloud using Python,DevOps,EMP_24,2024-02-04,16,9,48,0.84
153,optimize model using Python,Machine Learning,EMP_27,2024-07-09,4,40,124,0.8
154,build ETL pipeline using Python,Data Engineering,EMP_46,2024-02-21,1,4,140,0.5
155,build ETL pipeline using Python,Data Engineering,EMP_44,2024-12-02,10,31,52,0.82
156,handle ticket using Python,Support,EMP_41,2024-12-24,17,21,150,0.84
157,optimize query using Python,Data Engineering,EMP_48,2024-04-09,30,29,19,0.71
158,handle ticket using Python,Support,EMP_26,2024-02-13,16,37,77,0.63
159,handle ticket using Python,Support,EMP_32,2024-08-31,2,16,54,0.87
160,resolve issue using Python,Support,EMP_33,2024-03-04,13,30,27,0.56
161,apply NLP using Python,Machine Learning,EMP_49,2024-02-09,28,7,39,0.52
162,fix bug using Python,Support,EMP_15,2024-06-19,14,40,27,0.57
163,track deadlines using Python,Task Management,EMP_17,2024-03-11,7,36,61,0.73
164,train ML model using Python,Machine Learning,EMP_11,2024-06-17,30,23,109,0.84
165,apply NLP using Python,Machine Learning,EMP_23,2024-12-11,26,6,61,0.67
166,prepare report using Python,Reporting,EMP_36,2024-10-12,11,6,113,0.57
167,resolve issue using Python,Support,EMP_32,2024-08-17,16,11,52,0.73
168,optimize query using Python,Data Engineering,EMP_34,2024-12-02,12,2,32,0.5
169,apply NLP using Python,Machine Learning,EMP_21,2024-05-20,19,18,78,0.58
170,resolve issue using Python,Support,EMP_47,2024-07-21,21,15,131,0.76
171,prepare report using Python,Reporting,EMP_14,2024-02-04,20,18,21,0.79
172,generate report using Python,Reporting,EMP_2,2024-09-15,11,3,96,0.92
173,fix bug using Python,Support,EMP_7,2024-07-16,24,29,114,0.64
174,design warehouse using Python,Data Engineering,EMP_4,2024-04-16,2,36,69,0.59
175,create dashboard using Python,Reporting,EMP_14,2024-02-23,19,26,157,0.55
176,generate report using Python,Reporting,EMP_39,2024-06-03,20,7,85,0.59
177,clean data using Python,Data Engineering,EMP_9,2024-12-29,17,15,67,0.64
178,transform dataset using Python,Data Engineering,EMP_8,2024-09-14,22,23,12,0.6
179,track deadlines using Python,Task Management,EMP_37,2024-10-21,9,38,160,0.69
180,clean data using Python,Data Engineering,EMP_29,2024-05-22,23,13,13,0.87
181,optimize model using Python,Machine Learning,EMP_36,2024-11-12,11,38,110,0.53
182,transform dataset using Python,Data Engineering,EMP_22,2024-05-21,11,22,70,0.76
183,clean data using Python,Data Engineering,EMP_41,2024-12-04,23,21,20,0.91
184,resolve issue using Python,Support,EMP_38,2024-04-09,10,31,145,0.55
185,fix bug using Python,Support,EMP_27,2024-07-19,22,5,149,0.7
186,clean data using Python,Data Engineering,EMP_7,2024-08-12,29,35,71,0.8
187,troubleshoot error using Python,Support,EMP_1,2024-09-19,1,10,93,0.69
188,design warehouse using Python,Data Engineering,EMP_1,2024-12-21,11,30,159,0.8
189,assign tasks using Python,Task Management,EMP_6,2024-03-23,29,34,30,0.78
190,transform dataset using Python,Data Engineering,EMP_16,2024-11-08,20,19,17,0.86
191,monitor system using Python,DevOps,EMP_6,2024-06-19,9,22,47,0.71
192,build KPI dashboard using Python,Reporting,EMP_37,2024-05-19,21,24,102,0.53
193,clean data using Python,Data Engineering,EMP_27,2024-10-03,25,40,23,0.74
194,build ETL pipeline using Python,Data Engineering,EMP_7,2024-09-17,4,32,154,0.81
195,build prediction model using Python,Machine Learning,EMP_40,2024-10-27,21,27,109,0.66
196,assign tasks using Python,Task Management,EMP_29,2024-12-28,30,24,66,0.75
197,monitor system using Python,DevOps,EMP_35,2024-05-08,29,26,53,0.73
198,resolve issue using Python,Support,EMP_27,2024-05-15,15,13,30,0.54
199,transform dataset using Python,Data Engineering,EMP_3,2024-03-20,22,29,100,0.66
200,handle ticket using Python,Support,EMP_34,2024-11-17,11,35,23,0.79
201,perform feature engineering using Python,Machine Learning,EMP_13,2024-06-27,3,3,147,0.57
202,perform feature engineering using Python,Machine Learning,EMP_8,2024-01-18,11,15,60,0.5
203,design warehouse using Python,Data Engineering,EMP_40,2024-07-21,6,11,155,0.7
204,build KPI dashboard using Python,Reporting,EMP_41,2024-12-23,4,33,123,0.92
205,monitor system using Python,DevOps,EMP_35,2024-07-05,22,9,117,0.93
206,clean data using Python,Data Engineering,EMP_40,2024-03-01,5,21,146,0.74
207,manage cloud using Python,DevOps,EMP_9,2024-10-10,25,14,19,0.63
208,manage workload using Python,Task Management,EMP_40,2024-05-29,7,18,115,0.81
209,track deadlines using Python,Task Management,EMP_3,2024-06-16,4,5,123,0.77
210,deploy application using Python,DevOps,EMP_22,2024-04-06,9,39,145,0.56
211,prioritize tasks using Python,Task Management,EMP_31,2024-03-30,12,20,66,0.81
212,prioritize tasks using Python,Task Management,EMP_49,2024-11-10,20,12,125,0.67
213,deploy application using Python,DevOps,EMP_39,2024-12-16,18,20,138,0.6
214,perform feature engineering using Python,Machine Learning,EMP_20,2024-06-21,20,32,139,0.57
215,manage workload using Python,Task Management,EMP_19,2024-05-02,10,4,50,0.68
216,optimize query using Python,Data Engineering,EMP_25,2024-12-01,23,13,137,0.75
217,apply NLP using Python,Machine Learning,EMP_48,2024-11-26,16,26,101,0.53
218,monitor progress using Python,Task Management,EMP_20,2024-12-22,20,22,75,0.6
219,design warehouse using Python,Data Engineering,EMP_47,2024-08-12,23,5,79,0.87
220,resolve issue using Python,Support,EMP_43,2024-03-19,28,1,40,0.56
221,perform feature engineering using Python,Machine Learning,EMP_27,2024-06-10,30,16,82,0.62
222,clean data using Python,Data Engineering,EMP_34,2024-03-29,30,14,148,0.63
223,apply NLP using Python,Machine Learning,EMP_30,2024-02-17,11,1,136,0.73
224,perform feature engineering using Python,Machine Learning,EMP_45,2024-07-15,14,38,60,0.85
225,optimize model using Python,Machine Learning,EMP_44,2024-11-23,1,13,91,0.54
226,perform feature engineering using Python,Machine Learning,EMP_5,2024-09-21,23,21,64,0.86
227,optimize model using Python,Machine Learning,EMP_43,2024-03-22,26,34,32,0.61
228,build ETL pipeline using Python,Data Engineering,EMP_50,2024-04-29,22,27,53,0.53
229,handle ticket using Python,Support,EMP_46,2024-02-02,21,29,129,0.54
230,assign tasks using Python,Task Management,EMP_48,2024-01-21,24,21,44,0.92
231,prioritize tasks using Python,Task Management,EMP_6,2024-10-10,12,22,113,0.59
232,fix bug using Python,Support,EMP_28,2024-10-28,8,3,149,0.77
233,build KPI dashboard using Python,Reporting,EMP_30,2024-09-10,23,9,143,0.63
234,configure docker using Python,DevOps,EMP_15,2024-09-06,13,10,119,0.67
235,manage workload using Python,Task Management,EMP_29,2024-05-09,22,7,23,0.76
236,build prediction model using Python,Machine Learning,EMP_25,2024-05-17,3,30,32,0.92
237,configure docker using Python,DevOps,EMP_44,2024-01-11,30,6,10,0.94
238,setup CI/CD using Python,DevOps,EMP_49,2024-03-14,8,21,71,0.8
239,manage cloud using Python,DevOps,EMP_13,2024-04-26,14,5,13,0.51
240,build ETL pipeline using Python,Data Engineering,EMP_34,2024-09-16,6,40,38,0.54
241,clean data using Python,Data Engineering,EMP_42,2024-02-25,23,15,150,0.76
242,configure docker using Python,DevOps,EMP_44,2024-10-06,17,13,115,0.89
243,prepare report using Python,Reporting,EMP_17,2024-05-29,24,1,154,0.69
244,perform feature engineering using Python,Machine Learning,EMP_50,2024-10-24,14,31,107,0.56
245,generate report using Python,Reporting,EMP_46,2024-06-02,29,1,92,0.64
246,train ML model using Python,Machine Learning,EMP_42,2024-03-14,2,40,71,0.8
247,create dashboard using Python,Reporting,EMP_30,2024-08-05,25,4,50,0.71
248,assign tasks using Python,Task Management,EMP_9,2024-05-09,5,23,118,0.58
249,monitor system using Python,DevOps,EMP_35,2024-10-21,18,40,56,0.86
250,train ML model using Python,Machine Learning,EMP_13,2024-06-02,18,10,68,0.94
251,assign tasks using Python,Task Management,EMP_30,2024-01-12,26,13,10,0.8
252,build KPI dashboard using Python,Reporting,EMP_30,2024-06-20,13,36,141,0.6
253,prioritize tasks using Python,Task Management,EMP_9,2024-08-28,9,14,117,0.75
254,assist user using Python,Support,EMP_40,2024-07-10,13,19,116,0.68
255,train ML model using Python,Machine Learning,EMP_16,2024-11-03,19,1,122,0.54
256,perform feature engineering using Python,Machine Learning,EMP_30,2024-03-21,15,27,45,0.61
257,assist user using Python,Support,EMP_27,2024-05-01,2,35,127,0.84
258,deploy application using Python,DevOps,EMP_29,2024-06-23,21,30,123,0.62
259,setup CI/CD using Python,DevOps,EMP_14,2024-06-10,14,1,102,0.71
260,analyze metrics using Python,Reporting,EMP_23,2024-11-20,25,12,156,0.52
261,apply NLP using Python,Machine Learning,EMP_28,2024-06-03,24,10,83,0.82
262,build ETL pipeline using Python,Data Engineering,EMP_15,2024-04-30,2,22,69,0.65
263,resolve issue using Python,Support,EMP_33,2024-09-23,25,33,81,0.91
264,manage cloud using Python,DevOps,EMP_43,2024-11-11,23,23,41,0.68
265,transform dataset using Python,Data Engineering,EMP_31,2024-04-22,3,13,95,0.54
266,clean data using Python,Data Engineering,EMP_25,2024-01-04,5,12,48,0.69
267,monitor progress using Python,Task Management,EMP_23,2024-03-21,3,30,53,0.54
268,build KPI dashboard using Python,Reporting,EMP_43,2024-06-04,23,38,102,0.84
269,deploy application using Python,DevOps,EMP_46,2024-08-10,1,11,22,0.75
270,track deadlines using Python,Task Management,EMP_9,2024-08-02,30,1,136,0.71
271,optimize query using Python,Data Engineering,EMP_33,2024-09-22,19,34,11,0.81
272,deploy application using Python,DevOps,EMP_50,2024-01-16,30,38,71,0.82
273,monitor system using Python,DevOps,EMP_4,2024-07-01,20,19,120,0.61
274,deploy application using Python,DevOps,EMP_21,2024-10-25,24,33,123,0.67
275,resolve issue using Python,Support,EMP_6,2024-08-31,5,13,97,0.89
276,fix bug using Python,Support,EMP_2,2024-05-02,18,22,97,0.7
277,prioritize tasks using Python,Task Management,EMP_2,2024-10-02,29,20,137,0.91
278,train ML model using Python,Machine Learning,EMP_18,2024-11-14,16,8,160,0.72
279,manage cloud using Python,DevOps,EMP_25,2024-05-16,8,32,73,0.51
280,apply NLP using Python,Machine Learning,EMP_22,2024-02-08,28,18,35,0.84
281,manage workload using Python,Task Management,EMP_40,2024-07-06,18,14,145,0.71
282,resolve issue using Python,Support,EMP_32,2024-11-05,25,31,75,0.93
283,design warehouse using Python,Data Engineering,EMP_22,2024-05-07,12,2,144,0.71
284,train ML model using Python,Machine Learning,EMP_22,2024-06-04,26,11,67,0.72
285,create dashboard using Python,Reporting,EMP_24,2024-11-04,15,19,76,0.82
286,clean data using Python,Data Engineering,EMP_41,2024-03-30,22,17,37,0.92
287,assist user using Python,Support,EMP_26,2024-03-18,4,16,36,0.93
288,transform dataset using Python,Data Engineering,EMP_28,2024-06-20,8,6,136,0.59
289,apply NLP using Python,Machine Learning,EMP_20,2024-12-01,25,6,89,0.92
290,configure docker using Python,DevOps,EMP_44,2024-08-07,24,25,10,0.54
291,manage cloud using Python,DevOps,EMP_6,2024-09-28,9,6,98,0.74
292,setup CI/CD using Python,DevOps,EMP_50,2024-06-25,6,13,19,0.64
293,resolve issue using Python,Support,EMP_39,2024-04-27,18,36,88,0.82
294,train ML model using Python,Machine Learning,EMP_38,2024-11-08,25,26,156,0.84
295,build ETL pipeline using Python,Data Engineering,EMP_35,2024-10-13,21,1,56,0.63
296,track deadlines using Python,Task Management,EMP_50,2024-01-31,6,32,93,0.85
297,create dashboard using Python,Reporting,EMP_18,2024-09-16,4,12,88,0.95
298,monitor system using Python,DevOps,EMP_34,2024-02-20,13,23,90,0.6
299,fix bug using Python,Support,EMP_14,2024-01-30,13,12,123,0.76
300,prepare report using Python,Reporting,EMP_18,2024-06-18,14,29,109,0.77
301,transform dataset using Python,Data Engineering,EMP_30,2024-04-01,20,31,136,0.55
302,fix bug using Python,Support,EMP_36,2024-07-27,29,15,30,0.8
303,prioritize tasks using Python,Task Management,EMP_41,2024-01-16,26,5,25,0.79
304,generate report using Python,Reporting,EMP_20,2024-08-19,27,26,26,0.76
305,assist user using Python,Support,EMP_47,2024-10-03,2,13,51,0.91
306,monitor progress using Python,Task Management,EMP_2,2024-05-09,1,11,58,0.55
307,setup CI/CD using Python,DevOps,EMP_3,2024-10-16,21,17,122,0.8
308,apply NLP using Python,Machine Learning,EMP_33,2024-01-01,9,40,129,0.94
309,resolve issue using Python,Support,EMP_37,2024-01-05,13,26,57,0.75
310,configure docker using Python,DevOps,EMP_20,2024-09-09,8,9,92,0.75
311,build KPI dashboard using Python,Reporting,EMP_19,2024-09-08,3,17,59,0.59
312,transform dataset using Python,Data Engineering,EMP_47,2024-07-29,13,29,40,0.8
313,build KPI dashboard using Python,Reporting,EMP_1,2024-03-14,16,28,78,0.7
314,perform feature engineering using Python,Machine Learning,EMP_18,2024-09-07,16,39,21,0.71
315,build prediction model using Python,Machine Learning,EMP_10,2024-07-21,24,36,33,0.58
316,apply NLP using Python,Machine Learning,EMP_14,2024-06-05,11,3,87,0.86
317,analyze metrics using Python,Reporting,EMP_32,2024-05-17,17,9,70,0.56
318,design warehouse using Python,Data Engineering,EMP_3,2024-12-26,2,27,136,0.8
319,troubleshoot error using Python,Support,EMP_40,2024-10-03,6,36,17,0.72
320,manage workload using Python,Task Management,EMP_40,2024-12-22,4,14,89,0.6
321,configure docker using Python,DevOps,EMP_29,2024-08-28,6,28,147,0.81
322,perform feature engineering using Python,Machine Learning,EMP_19,2024-03-28,26,18,147,0.64
323,design warehouse using Python,Data Engineering,EMP_42,2024-02-16,29,38,20,0.87
324,build ETL pipeline using Python,Data Engineering,EMP_42,2024-09-26,20,34,13,0.82
325,handle ticket using Python,Support,EMP_36,2024-05-24,7,40,69,0.51
326,track deadlines using Python,Task Management,EMP_34,2024-08-29,9,9,120,0.75
327,generate report using Python,Reporting,EMP_20,2024-01-07,28,20,47,0.93
328,apply NLP using Python,Machine Learning,EMP_22,2024-08-13,9,10,85,0.58
329,transform dataset using Python,Data Engineering,EMP_23,2024-11-12,29,35,135,0.64
330,prepare report using Python,Reporting,EMP_31,2024-11-27,24,10,131,0.8
331,train ML model using Python,Machine Learning,EMP_36,2024-10-28,4,28,145,0.68
332,transform dataset using Python,Data Engineering,EMP_24,2024-02-17,3,24,30,0.86
333,create dashboard using Python,Reporting,EMP_46,2024-02-19,13,25,33,0.89
334,setup CI/CD using Python,DevOps,EMP_50,2024-07-10,28,15,41,0.54
335,troubleshoot error using Python,Support,EMP_4,2024-06-04,25,34,48,0.71
336,create dashboard using Python,Reporting,EMP_29,2024-07-05,10,12,19,0.93
337,clean data using Python,Data Engineering,EMP_48,2024-09-22,26,5,144,0.66
338,optimize model using Python,Machine Learning,EMP_16,2024-08-19,1,35,83,0.88
339,generate report using Python,Reporting,EMP_9,2024-08-24,27,20,130,0.74
340,design warehouse using Python,Data Engineering,EMP_36,2024-08-24,4,19,127,0.66
341,monitor progress using Python,Task Management,EMP_5,2024-05-27,8,11,25,0.84
342,assign tasks using Python,Task Management,EMP_48,2024-10-06,26,2,74,0.71
343,optimize model using Python,Machine Learning,EMP_17,2024-04-16,18,29,84,0.94
344,generate report using Python,Reporting,EMP_29,2024-12-03,24,5,72,0.83
345,perform feature engineering using Python,Machine Learning,EMP_39,2024-01-10,8,40,91,0.52
346,train ML model using Python,Machine Learning,EMP_30,2024-07-02,30,5,24,0.79
347,perform feature engineering using Python,Machine Learning,EMP_27,2024-01-07,9,4,12,0.73
348,optimize model using Python,Machine Learning,EMP_31,2024-10-23,15,1,29,0.92
349,manage workload using Python,Task Management,EMP_37,2024-12-02,16,18,59,0.66
350,handle ticket using Python,Support,EMP_40,2024-10-24,16,39,55,0.54
351,train ML model using Python,Machine Learning,EMP_11,2024-12-20,15,3,78,0.92
